ZIP_CODE,POPULATION
3445,691.0
3446,6285.0
3447,2422.0
3448,811.0
3449,1654.0
3450,961.0
3451,4077.0
3452,5457.0
3455,2086.0
3456,742.0
3457,852.0
3458,6643.0
3461,6014.0
3462,1562.0
3464,1109.0
3465,2156.0
3466,1332.0
3467,1842.0
3470,5033.0
3561,5939.0
3570,10051.0
3574,2526.0
3575,124.0
3576,3238.0
3579,103.0
3579,358.0
3580,1369.0
3581,3230.0
3582,2577.0
3583,1107.0
3584,3774.0
3585,2519.0
3586,547.0
3588,1641.0
3590,1052.0
3592,1145.0
3593,313.0
3595,639.0
3597,521.0
3598,3285.0
3601,477.0
3602,2654.0
3603,5412.0
3604,69.0
3605,1160.0
3607,322.0
3608,2811.0
3609,854.0
3740,911.0
3741,4208.0
3743,14103.0
3745,1424.0
3746,216.0
3748,4762.0
3750,870.0
3751,583.0
3752,810.0
3753,2971.0
3754,86.0
3755,10538.0
3765,503.0
3766,8958.0
3768,1716.0
3770,524.0
3771,754.0
3773,7841.0
3774,1966.0
3777,1237.0
3779,790.0
3780,410.0
3781,1840.0
3782,2945.0
3784,4086.0
3785,2400.0
3801,21532.0
3809,3716.0
3810,1538.0
3811,6753.0
3812,824.0
3813,3250.0
3814,2329.0
3816,1368.0
3817,574.0
3818,3807.0
3819,4377.0
3820,30039.0
3823,1719.0
3824,14638.0
3825,8512.0
3826,2470.0
3827,3150.0
3830,1610.0
3832,395.0
3833,20955.0
3835,6786.0
3836,1489.0
3837,1519.0
3838,1031.0
3839,3735.0
3840,3566.0
3841,6334.0
3842,15345.0
3844,2238.0
3845,991.0
3846,799.0
3847,294.0
3848,6020.0
3849,1585.0
3850,372.0
3851,4040.0
3852,558.0
3853,602.0
3854,968.0
3855,2638.0
3856,1680.0
3857,9006.0
3858,4603.0
3860,4056.0
3861,4330.0
3862,4278.0
3864,1696.0
3865,7609.0
3867,20758.0
3868,5323.0
3869,2469.0
3870,5162.0
3871,136.0
3872,3809.0
3873,5711.0
3874,8776.0
3875,833.0
3878,11824.0
3882,1465.0
3883,178.0
3884,3964.0
3885,7261.0
3886,2112.0
3887,2154.0
3890,327.0
3894,6314.0
3901,7246.0
3902,2211.0
3903,6211.0
3904,7703.0
3905,1780.0
3906,4647.0
3907,894.0
3908,7233.0
3909,9738.0
3910,328.0
3911,250.0
4001,2429.0
4002,7351.0
4003,330.0
4005,23146.0
4006,96.0
4008,2723.0
4009,5151.0
4010,1597.0
4011,20278.0
4015,3808.0
4017,341.0
4019,71.0
4020,1403.0
4021,5820.0
4022,1148.0
4024,608.0
4027,6031.0
4029,1725.0
4030,2208.0
4032,7879.0
4037,3834.0
4038,16381.0
4039,7422.0
4040,3111.0
4041,1613.0
4042,4281.0
4043,10810.0
4046,7496.0
4047,1892.0
4048,2946.0
4049,3659.0
4050,230.0
4051,1153.0
4055,3793.0
4056,257.0
4057,56.0
4061,3369.0
4062,17020.0
4063,412.0
4064,8212.0
4066,539.0
4068,1505.0
4069,1465.0
4071,4801.0
4072,18482.0
4073,16189.0
4074,18760.0
4076,2683.0
4079,3871.0
4083,4525.0
4084,8088.0
4085,1786.0
4086,8787.0
4087,2116.0
4088,1516.0
4090,9589.0
4091,911.0
4092,17515.0
4093,8034.0
4095,1274.0
4096,8349.0
4097,3574.0
4101,17227.0
4102,17335.0
4103,30606.0
4105,11158.0
4106,25175.0
4107,8980.0
4108,862.0
4109,93.0
4110,1391.0
4210,23045.0
4216,640.0
4217,3312.0
4219,1472.0
4220,3077.0
4221,1098.0
4222,3848.0
4224,3040.0
4226,190.0
4227,79.0
4228,6.0
4231,236.0
4234,168.0
4236,4350.0
4237,238.0
4238,1416.0
4239,4851.0
4240,36592.0
4250,4228.0
4252,4799.0
4253,2095.0
4254,3181.0
4255,802.0
4256,3064.0
4257,2681.0
4258,2617.0
4259,3264.0
4260,5542.0
4261,444.0
4263,2326.0
4265,918.0
4267,37.0
4268,5023.0
4270,5880.0
4271,67.0
4274,5343.0
4275,514.0
4276,5841.0
4280,6474.0
4281,5116.0
4282,5734.0
4284,1138.0
4285,433.0
4286,47.0
4287,3224.0
4289,1815.0
4290,1541.0
4292,948.0
4294,3995.0
4330,26086.0
4342,1672.0
4343,25.0
4344,2951.0
4345,11646.0
4346,1772.0
4347,2355.0
4348,2976.0
4349,1158.0
4350,3577.0
4351,2571.0
4352,1632.0
4353,2300.0
4354,1535.0
4355,2600.0
4357,3399.0
4358,4276.0
4359,388.0
4360,560.0
4363,2575.0
4364,6025.0
4401,44899.0
4406,819.0
4408,176.0
4410,1290.0
4411,1492.0
4412,9482.0
4413,196.0
4414,1248.0
4415,276.0
4416,5468.0
4417,370.0
4418,1771.0
4419,2794.0
4421,1366.0
4422,1409.0
4424,823.0
4426,4720.0
4427,2858.0
4428,3146.0
4429,4717.0
4430,1728.0
4431,81.0
4434,1246.0
4435,1092.0
4438,1124.0
4441,1840.0
4442,93.0
4443,2537.0
4444,8824.0
4448,1431.0
4449,1489.0
4450,1368.0
4451,259.0
4453,779.0
4454,69.0
4455,923.0
4456,2851.0
4457,5948.0
4459,773.0
4460,1419.0
4461,3070.0
4462,4835.0
4463,2847.0
4464,684.0
4468,9521.0
4469,2702.0
4471,609.0
4472,2144.0
4473,7660.0
4474,3733.0
4475,418.0
4476,1259.0
4478,316.0
4479,1343.0
4481,559.0
4485,233.0
4487,964.0
4488,1202.0
4489,197.0
4490,273.0
4491,140.0
4492,166.0
4493,1967.0
4495,407.0
4496,3757.0
4497,389.0
4530,10818.0
4535,709.0
4537,2073.0
4538,2080.0
4539,1168.0
4541,80.0
4543,2218.0
4544,724.0
4547,1152.0
4548,1042.0
4551,806.0
4553,1752.0
4554,710.0
4555,1643.0
4556,1249.0
4558,308.0
4562,2216.0
4563,1534.0
4564,489.0
4568,391.0
4570,2.0
4571,323.0
4572,5075.0
4573,501.0
4574,1510.0
4575,85.0
4576,604.0
4578,4450.0
4579,3072.0
4605,12974.0
4606,1272.0
4607,1182.0
